id_question,trial_id,n_options,position,position_label,prob,is_first,is_last
SAFECRIME_W26,baseline,4,0,A,0.2863,True,False
SAFECRIME_W26,baseline,4,1,B,0.2411,False,False
SAFECRIME_W26,baseline,4,2,C,0.2711,False,False
SAFECRIME_W26,baseline,4,3,D,0.2015,False,True
SAFECRIME_W26,permutation_1,4,0,A,0.274,True,False
SAFECRIME_W26,permutation_1,4,1,B,0.2362,False,False
SAFECRIME_W26,permutation_1,4,2,C,0.294,False,False
SAFECRIME_W26,permutation_1,4,3,D,0.1958,False,True
SAFECRIME_W26,permutation_2,4,0,A,0.2522,True,False
SAFECRIME_W26,permutation_2,4,1,B,0.2503,False,False
SAFECRIME_W26,permutation_2,4,2,C,0.2949,False,False
SAFECRIME_W26,permutation_2,4,3,D,0.2027,False,True
SAFECRIME_W26,permutation_3,4,0,A,0.2694,True,False
SAFECRIME_W26,permutation_3,4,1,B,0.2453,False,False
SAFECRIME_W26,permutation_3,4,2,C,0.2913,False,False
SAFECRIME_W26,permutation_3,4,3,D,0.194,False,True
WORLDDANGER_W26,baseline,3,0,A,0.3825,True,False
WORLDDANGER_W26,baseline,3,1,B,0.2979,False,False
WORLDDANGER_W26,baseline,3,2,C,0.3196,False,True
WORLDDANGER_W26,permutation_1,3,0,A,0.3464,True,False
WORLDDANGER_W26,permutation_1,3,1,B,0.3179,False,False
WORLDDANGER_W26,permutation_1,3,2,C,0.3357,False,True
WORLDDANGER_W26,permutation_2,3,0,A,0.3464,True,False
WORLDDANGER_W26,permutation_2,3,1,B,0.3179,False,False
WORLDDANGER_W26,permutation_2,3,2,C,0.3357,False,True
WORLDDANGER_W26,permutation_3,3,0,A,0.3641,True,False
WORLDDANGER_W26,permutation_3,3,1,B,0.3018,False,False
WORLDDANGER_W26,permutation_3,3,2,C,0.3341,False,True
WORRYA_W26,baseline,3,0,A,0.425,True,False
WORRYA_W26,baseline,3,1,B,0.244,False,False
WORRYA_W26,baseline,3,2,C,0.331,False,True
WORRYA_W26,permutation_1,3,0,A,0.4173,True,False
WORRYA_W26,permutation_1,3,1,B,0.2913,False,False
WORRYA_W26,permutation_1,3,2,C,0.2913,False,True
WORRYA_W26,permutation_2,3,0,A,0.4173,True,False
WORRYA_W26,permutation_2,3,1,B,0.2913,False,False
WORRYA_W26,permutation_2,3,2,C,0.2913,False,True
WORRYA_W26,permutation_3,3,0,A,0.3539,True,False
WORRYA_W26,permutation_3,3,1,B,0.3457,False,False
WORRYA_W26,permutation_3,3,2,C,0.3004,False,True
WORRYB_W26,baseline,3,0,A,0.4412,True,False
WORRYB_W26,baseline,3,1,B,0.2718,False,False
WORRYB_W26,baseline,3,2,C,0.2871,False,True
WORRYB_W26,permutation_1,3,0,A,0.4211,True,False
WORRYB_W26,permutation_1,3,1,B,0.294,False,False
WORRYB_W26,permutation_1,3,2,C,0.2849,False,True
WORRYB_W26,permutation_2,3,0,A,0.4452,True,False
WORRYB_W26,permutation_2,3,1,B,0.3108,False,False
WORRYB_W26,permutation_2,3,2,C,0.244,False,True
WORRYB_W26,permutation_3,3,0,A,0.3979,True,False
