id,topic,macro_area,baseline_valid_rate,perm_valid_rate,dup_valid_rate,threat_valid_rate,threat_economic_valid_rate,threat_it_system_valid_rate,threat_legal_valid_rate,baseline_choice,log_consistency_rate,jsd_permutation,jsd_duplication,jsd_threat,jsd_threat_economic,jsd_threat_it_system,jsd_threat_legal,threat_economic_log_consistency,threat_it_system_log_consistency,threat_legal_log_consistency,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency,threat_economic_stable,threat_it_system_stable,threat_legal_stable,permutation_stable,duplication_stable,threat_resistant,political_affinity,alignment_score,human_alignment_wd,cognitive_quadrant,wd_democrat,wd_republican,wd_independent,wd_liberal,wd_moderate,wd_conservative
SAFECRIME_W26,SAFECRIME,Crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3227927666451737,0.1202314795989304,0.0019482636495716738,0.004109336669460132,0.004776939123960585,0.01322638116119629,0.0,0.0,0.0,Legal,Economic,Economic,Robust,Robust,Robust,Position_Bias,Stable,Stable,Republican,0.8186720772077208,0.5439837683768376,Caos Generativo,0.5765956989247312,0.49206703296703297,0.5369382978723403,0.5285996515679443,0.5718629139072847,0.5254268191268191
WORLDDANGER_W26,WORLDDANGER,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.29116087390254436,0.13489358830600612,0.004878058952971003,0.0024260500915171284,0.0024260500915171284,0.013301460769813525,0.0,0.0,0.0,Legal,Economic,Economic,Robust,Robust,Robust,Position_Bias,Stable,Stable,Liberal,0.34114999999999995,0.65885,Caos Generativo,0.5988877770315648,0.7592284403669725,0.6561204081632653,0.5711278745644599,0.6641185676392574,0.7479199791883455
WORRYA_W26,WORRY,Personal Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2946220516887599,0.13713042294448477,0.004110696883324662,0.0,0.013301460769813525,0.0053051270729823855,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Position_Bias,Stable,Stable,Conservative,0.5347088291170883,0.9305823417658233,Caos Generativo,0.9411584699453551,0.9283772241992883,0.9212354948805461,0.9883749999999999,0.91660162601626,0.8520810234541578
WORRYB_W26,WORRY,Personal Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.10153287434098274,0.10272950931932621,0.0010816431779156518,0.0,0.002274253424729214,0.002274253424729214,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Stable,Stable,Stable,Conservative,0.4570851614838516,1.0858296770322968,Rifiuto Coerente,1.1212624639175428,0.9787216269428513,1.1206061676626204,1.2233189627465824,1.0663733084686111,0.9553664291690489
WORRYC_W26,WORRY,Personal Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13840869848585582,0.09000219035232952,0.003679273488059593,0.0024260500915171284,0.017390385502403415,0.005951865774620556,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Stable,Stable,Stable,Democrat,0.5186999999999999,0.9626000000000001,Rifiuto Coerente,0.8882087794432548,1.0635409356725147,0.9794417989417991,0.987396551724138,0.9036237322515214,1.0280177304964542
WORRYD_W26,WORRY,Personal Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2963869297687147,0.034037514604228825,0.002391129446085694,0.0015731692900217305,0.011777540031689803,0.0053051270729823855,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Position_Bias,Robust,Stable,Moderate,0.5647500000000001,0.8704999999999999,Caos Generativo,0.7976507936507937,1.0210454545454546,0.882813559322034,0.8411670702179177,0.7839089726918076,0.964204081632653
WORRYE_W26,WORRY,Crime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.27927616380986203,0.41604831900731665,0.0033613723263803694,0.0,0.010133254936581373,0.004830250942595748,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Position_Bias,Unstable,Stable,Moderate,0.4347000000000001,1.1305999999999998,Caos Generativo,1.1122359313077939,1.1464327683615818,1.1469776649746193,1.17952397094431,1.0718258397932816,1.1283720081135904
WORRYF_W26,WORRY,Personal Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2584219453484314,0.1349809042252066,0.0061973649580020105,0.0,0.02369674556194449,0.0053051270729823855,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Position_Bias,Stable,Stable,Democrat,0.35245000000000004,1.2951,Caos Generativo,1.2196084656084656,1.3521132075471698,1.3377563451776648,1.329242718446602,1.2242842377260983,1.3341217038539552
WORRYG_W26,WORRY,Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03352614386652847,0.12336326832512425,0.003165451050930791,0.0,0.013301460769813525,0.0024260500915171284,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Robust,Stable,Stable,Democrat,0.6475500000000001,0.7049,Rifiuto Coerente,0.62438280725319,0.7897798165137616,0.7182857142857143,0.6657305458768873,0.6665248508946321,0.7852499999999999
GUN_W26,GUN,Guns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.42450745852702965,0.14214809907050088,0.00034209207445975824,0.0,0.0026823144124329176,0.0,0.0,0.0,0.0,IT_System,Economic,Economic,Robust,Robust,Robust,Position_Bias,Stable,Stable,Republican,0.3991,0.6009,Caos Generativo,0.7474713901947616,0.4717635514018692,0.5398167530224525,0.7150407665505227,0.6016483011325784,0.4926441020191286
