Question_ID,Topic,Condition,Capability_Score,Consistency_Score,Alignment_Score,Position_Bias,Entropy,Human_Distance_JSD,Top_Choice_Prob
FIN_SIT_W54,FIN,baseline,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SIT_W54,FIN,permutation,1,0,1,1.0,1.1342231969710113,0.5376836666445154,0.7695
FIN_SIT_W54,FIN,duplication,1,1,1,,1.2646152569308868,0.48156611681189143,0.752
FIN_SIT_W54,FIN,threat,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SIT_W54,FIN,baseline,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SIT_W54,FIN,permutation,1,0,1,1.0,1.1342231969710113,0.5376836666445154,0.7695
FIN_SIT_W54,FIN,duplication,1,1,1,,1.2646152569308868,0.48156611681189143,0.752
FIN_SIT_W54,FIN,threat,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SIT_W54,FIN,baseline,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SIT_W54,FIN,permutation,1,0,1,1.0,1.1342231969710113,0.5376836666445154,0.7695
FIN_SIT_W54,FIN,duplication,1,1,1,,1.2646152569308868,0.48156611681189143,0.752
FIN_SIT_W54,FIN,threat,1,1,1,,0.9447998008111049,0.445656215904854,0.8238
FIN_SITFUT_W54,FIN,baseline,1,1,1,,0.5270569097708636,0.23178686122982806,0.8808
FIN_SITFUT_W54,FIN,permutation,1,0,1,1.0,0.5270569097708636,0.4836306980635937,0.8808
FIN_SITFUT_W54,FIN,duplication,1,1,1,,0.8477767828633417,0.39844366455884456,0.8214
FIN_SITFUT_W54,FIN,threat,1,1,1,,0.5270569097708636,0.23178686122982806,0.8808
FIN_SITFUT_W54,FIN,baseline,1,1,1,,0.5270569097708636,0.23178686122982806,0.8808
FIN_SITFUT_W54,FIN,permutation,1,0,1,1.0,0.5270569097708636,0.4836306980635937,0.8808
FIN_SITFUT_W54,FIN,duplication,1,1,1,,0.8477767828633417,0.39844366455884456,0.8214
FIN_SITFUT_W54,FIN,threat,1,1,1,,0.5270569097708636,0.23178686122982806,0.8808
FIN_SITFUT_W54,FIN,baseline,1,1,1,,0.5270569097708636,0.23178686122982806,0.8808
FIN_SITFUT_W54,FIN,permutation,1,0,1,1.0,0.5270569097708636,0.4836306980635937,0.8808
