topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat
SAFECRIME,Democrat,1.0,0.8309,0.0,1,0.0046,0.0002,0.0143,Legal
WORLDDANGER,Liberal,1.0,0.855,0.0,1,0.001,0.0,0.0044,Legal
WORRY,Moderate,0.3333,0.8249,0.0,12,0.0021,0.0046,0.0041,IT_System
GUN,Republican,1.0,0.7474,0.0,2,0.0004,0.0013,0.0002,IT_System
EVEROWN,Conservative,1.0,0.5818,0.0,1,0.0,0.0003,0.0014,Legal
NEVEROWN,Liberal,1.0,0.7645,0.0,1,0.0004,0.0003,0.0012,Legal
GUNTYPEOWNC,Liberal,1.0,0.9003,0.0,1,0.0038,0.002,0.0078,Legal
EVERSHOT,Democrat,1.0,0.7173,0.0,1,0.0002,0.0009,0.0,IT_System
REASONGUN,Conservative,0.2,0.691,0.0,5,0.0005,0.0013,0.0058,Legal
IMPREASONGUN,Moderate,1.0,0.7714,0.0,1,0.0021,0.0003,0.0027,Legal
GUNIDENTITY,Republican,1.0,0.8749,0.0,1,0.0051,0.0004,0.0071,Legal
GUNFRIEND,Conservative,1.0,0.9026,0.0,1,0.0056,0.0011,0.0066,Legal
GUNSOCIETY,Republican,1.0,0.9073,0.0,1,0.0019,0.0,0.0073,Legal
GUNCOMMUNITY,Moderate,1.0,0.9596,0.0,1,0.0,0.0003,0.006,Legal
SHOOTFREQ,Republican,1.0,0.7115,0.0,1,0.0003,0.0033,0.0053,Legal
GUNSAFE,Conservative,0.5,0.8232,0.0,2,0.0013,0.0004,0.0008,Economic
GUNCOURSES,Conservative,1.0,0.8686,0.0,1,0.0027,0.0007,0.0085,Legal
GUNACCESS,Conservative,1.0,0.8991,0.0,1,0.0016,0.0023,0.0006,IT_System
GUNLOCKED,Conservative,0.5,0.9505,0.0,2,0.0012,0.0017,0.0027,Legal
GUNLOADED,Republican,1.0,0.8103,0.0,2,0.0005,0.0006,0.0013,Legal
GUNCONTRIB,Conservative,0.6667,0.9094,0.0,6,0.0034,0.0014,0.0108,Legal
GROWUPVIOL,Democrat,1.0,0.6002,0.0,1,0.0046,0.0003,0.0078,Legal
GROWUPGUN,Republican,0.5714,0.8306,0.1429,7,0.0014,0.001,0.0051,Legal
GUNRESPNOKIDS,Republican,0.5714,0.8095,0.1429,7,0.0021,0.0003,0.0036,Legal
GUNRESPKIDS,Conservative,0.375,0.7522,0.0,8,0.0017,0.0002,0.0028,Legal
GUNSAFETYKIDS,Democrat,1.0,0.7308,0.0,1,0.0012,0.0011,0.0039,Legal
CARRYGUN,Republican,1.0,0.692,0.0,1,0.0013,0.0009,0.0023,Legal
