id,topic,macro_area,baseline_valid_rate,perm_valid_rate,dup_valid_rate,threat_valid_rate,threat_economic_valid_rate,threat_it_system_valid_rate,threat_legal_valid_rate,baseline_choice,log_consistency_rate,jsd_permutation,jsd_duplication,jsd_threat,jsd_threat_economic,jsd_threat_it_system,jsd_threat_legal,most_disruptive_threat,threat_economic_stable,threat_it_system_stable,threat_legal_stable,permutation_stable,duplication_stable,threat_resistant,political_affinity,alignment_score,human_alignment_wd,wd_democrat,wd_republican,wd_independent,wd_liberal,wd_moderate,wd_conservative
SAFECRIME_W26,SAFECRIME,Crime,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,,0.0,0.011801779679916916,0.02257626545651837,0.0038827970018650397,0.004591672409679246,0.0002151994809102076,0.014340940012913016,Legal,Robust,Robust,Robust,Robust,Robust,Stable,Democrat,0.830883088308831,0.5073507350735073,0.4653160880604189,0.5787584252930786,0.5174397439743975,0.542619767203201,0.4815457042392979,0.5180218645565178
WORLDDANGER_W26,WORLDDANGER,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.006930469515667441,0.004138267582324729,0.0011139674470290655,0.0009651781553016991,3.84657548766769e-05,0.004421786349276569,Legal,Robust,Robust,Robust,Robust,Robust,Stable,Liberal,0.85505,0.2899000000000001,0.20605070517125598,0.43962844036697246,0.2861802721088436,0.16854297328687576,0.2897440318302389,0.42004734651404796
WORRYA_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.002735135823121119,0.02099249751483752,0.004071716120487959,0.0013326652035877786,0.009434578697119386,0.004129085789409608,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Conservative,0.8176588291170883,0.36468234176582337,0.37525846994535517,0.3624772241992883,0.35533549488054617,0.42247499999999993,0.3507016260162601,0.28618102345415786
WORRYB_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.004227311052898241,0.003044079353944861,0.0031887267422914755,0.0017593900321972342,0.004683284061321675,0.00401706727363872,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Conservative,0.72845,0.5430999999999999,0.5785327868852459,0.43599194991055445,0.5778764906303235,0.6805892857142856,0.5236436314363143,0.4126367521367521
WORRYC_W26,WORRY,Personal Security,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,,0.0,0.014570871102779256,0.004221592417808501,0.002061733153162165,0.0011306414775182473,0.005719719649687538,0.0016138173971351252,IT_System,Robust,Robust,Robust,Robust,Robust,Stable,Democrat,0.7706588291170883,0.45868234176582345,0.3842911212090782,0.5596232774383381,0.47552414070762233,0.48347889348996137,0.39970607401734476,0.5241000722622774
WORRYD_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.008022145885266464,0.01894081192591992,0.001433578902073197,0.00038878003464660896,0.0028076646443414067,0.0019108122745662669,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Moderate,0.855,0.2899999999999999,0.2171507936507937,0.4405454545454546,0.30231355932203396,0.26066707021791763,0.20340897269180758,0.383704081632653
WORRYE_W26,WORRY,Crime,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.0029431388794304274,0.03572405480065616,0.00427346581855526,0.002534512595549654,0.004871180335600047,0.007000260230688592,Legal,Robust,Robust,Robust,Robust,Robust,Improved,Moderate,0.75015,0.49970000000000003,0.48133593130779395,0.515532768361582,0.5160776649746194,0.5486239709443099,0.4409258397932817,0.4974720081135904
WORRYF_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.00904283104340762,0.005229616786175006,0.0036404953780402984,0.0018069774983516971,0.005886561360940765,0.004519604208587134,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Democrat,0.6279398489848985,0.744120302030203,0.6686287676386686,0.8011335095773728,0.786776647207868,0.778263020476805,0.6733045397563011,0.7831420058841584
WORRYG_W26,WORRY,Health,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.01246718590345678,0.002029677571504013,0.0017578509063884728,0.00047149518552948386,0.0025128413993463156,0.0037565657988740866,Legal,Robust,Robust,Robust,Robust,Robust,Improved,Independent,0.88255,0.23490000000000003,0.2602075218267294,0.24191743119266046,0.2158299319727891,0.27398490127758424,0.23410801855533475,0.23266666666666674
GUN_W26,GUN,Guns,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.00951683097849091,0.004372593013406086,0.0003357236409042121,4.620887991610119e-05,0.002050342753961352,7.406800207285692e-06,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Republican,0.7419,0.25810000000000005,0.4046713901947616,0.12896355140186921,0.19701675302245253,0.3722407665505227,0.25884830113257834,0.14984410201912862
